,ulica,numer,nr_lokalu,powierzchnia_uzyt,liczba_pokoi,piętro,lok_cena_brutto,cena_za_m2,srednia_budynek,srednia_cena_ulica,srednia_cena_dzielnica,near_100,near_300,near_500,dist_centrum,dzielnica,coordinates,rodzaj_rynku,data,rok
1753,SOŁTYSOWSKA,12F,81_LOK,69.43,4.0,1.0,1000000,14403,15027,15951,13985,14773,15701,15428,5641,Dzielnica XIV Czyżyny,"(50.06274876291751, 20.01790095571287)",wtorny,2024-06-12,2024
1754,TYNIECKA,43,1003_LOK,49.03,3.0,2.0,775000,15807,15209,12421,14775,15830,15087,14609,3080,Dzielnica VIII Dębniki,"(50.04429756420834, 19.906052692629636)",wtorny,2025-12-22,2025
1755,STAROWIŚLNA,36,M4_LOK,33.17,2.0,2.0,825000,24872,21410,16701,19904,15914,17425,18681,937,Dzielnica I Stare Miasto,"(50.055465274633, 19.947209249870205)",wtorny,2025-05-30,2025
1756,OSIEDLE TEATRALNE,3,1_LOK,29.05,2.0,2.0,385000,13253,12623,12132,12842,11347,12122,12673,6689,Dzielnica XVIII Nowa Huta,"(50.07891053386037, 20.028843313888963)",wtorny,2025-04-15,2025
1757,ADAMA BOCHENKA,16,85_LOK,47.23,3.0,11.0,710000,15033,14479,12959,13370,14065,14411,14164,6184,Dzielnica XI Podgórze Duchackie,"(50.012191154491816, 19.977339767437325)",wtorny,2024-01-30,2024
1758,BAGROWA,21A,21A_44_LOK,64.83,4.0,4.0,737517,11376,13402,14639,14979,15292,16857,16368,5279,Dzielnica XIII Podgórze,"(50.036254534578795, 20.000986243216328)",pierwotny,2024-01-24,2024
1759,RAKOWICKA,20J,57_LOK,28.11,1.0,1.0,680000,24191,23465,18228,19904,21168,20979,19999,1274,Dzielnica I Stare Miasto,"(50.07052073063759, 19.951108915897755)",wtorny,2024-01-29,2024
1760,LUBOSTROŃ,22a,1004_LOK,52.6,3.0,1.0,677500,12880,12487,14310,14775,14511,14840,14516,6073,Dzielnica VIII Dębniki,"(50.01616594469412, 19.893079470760412)",wtorny,2024-10-16,2024
1761,CENTRALNA,51,88_LOK,48.77,2.0,3.0,507988,10416,11065,11351,13985,10591,14574,15533,5133,Dzielnica XIV Czyżyny,"(50.06406062645832, 20.010747028932222)",pierwotny,2024-09-18,2024
1762,CENTRALNA,51,74_LOK,48.79,2.0,1.0,585480,12000,11065,11351,13985,10591,14574,15533,5133,Dzielnica XIV Czyżyny,"(50.06406062645832, 20.010747028932222)",pierwotny,2024-09-17,2024
1763,WALEREGO SŁAWKA,15,5_LOK,44.43,2.0,3.0,685000,15418,16580,13970,13370,15487,15329,14651,4569,Dzielnica XI Podgórze Duchackie,"(50.023564632113306, 19.96141756565096)",wtorny,2024-06-19,2024
1764,DO WILGI,2,52_LOK,40.53,2.0,4.0,729000,17987,17814,17476,14142,17814,15220,14083,4433,Dzielnica IX Łagiewniki-Borek Fałęcki,"(50.02244001783547, 19.932112348922942)",pierwotny,2025-12-09,2025
1765,FELICJANEK,17,24_LOK,27.11,1.0,4.0,750000,27665,26021,21676,19904,15472,18263,19186,851,Dzielnica I Stare Miasto,"(50.05764940267641, 19.92936119695567)",wtorny,2026-01-29,2026
1766,DOLINA,7K,1_LOK,87.22,4.0,1.0,1303546,14945,15024,15974,18963,16942,16961,16721,4871,Dzielnica VII Zwierzyniec,"(50.069088660910786, 19.87187795591747)",pierwotny,2025-12-29,2025
1767,PYCHOWICKA,11,39_LOK,44.54,2.0,4.0,641376,14400,15024,15373,14775,16492,16890,15773,3480,Dzielnica VIII Dębniki,"(50.0335692355651, 19.918966376952053)",pierwotny,2025-10-17,2025
1768,PŁASZOWSKA,57,51_LOK,65.57,3.0,2.0,822360,12542,14277,14572,14979,13747,13122,14554,3479,Dzielnica XIII Podgórze,"(50.04608912906843, 19.98087725596523)",wtorny,2025-11-04,2025
1769,RAKOWICKA,20L,391_LOK,45.45,2.0,12.0,1250000,27503,17147,18228,19904,22818,21451,20438,1236,Dzielnica I Stare Miasto,"(50.07044347758845, 19.950451407350506)",wtorny,2025-03-10,2025
1770,JANA KOZIETULSKIEGO,5,13_LOK,71.2,5.0,3.0,870000,12219,12688,13157,13627,12688,14222,14890,6571,Dzielnica XII Biezanow-Prokocim,"(50.01586140006061, 19.996333368766717)",wtorny,2025-04-23,2025
1771,GALICYJSKA,3A,100_LOK,43.92,2.0,8.0,670000,15255,16155,15411,13985,15089,13583,15085,5021,Dzielnica XIV Czyżyny,"(50.06304324219924, 20.009234578916274)",wtorny,2026-01-27,2026
1772,ANNY SZWED-ŚNIADOWSKIEJ,44,35_LOK,36.16,1.0,4.0,530000,14657,14485,13647,14775,13387,13157,13296,7885,Dzielnica VIII Dębniki,"(49.99602005918092, 19.898927973044522)",wtorny,2025-12-19,2025
1773,ROMANA CIESIELSKIEGO,8A,74_LOK,44.76,2.0,7.0,530395,11850,12331,11933,13985,12331,15695,15020,5327,Dzielnica XIV Czyżyny,"(50.06175825755868, 20.013519298297133)",pierwotny,2025-03-26,2025
1774,MOGILSKA,130,138_LOK,56.87,3.0,2.0,940336,16535,15590,16122,14766,23591,16695,17114,3162,Dzielnica III Prądnik Czerwony,"(50.07086780916086, 19.981098534793084)",pierwotny,2025-03-14,2025
1775,LIBROWSZCZYZNA,3,15_LOK,46.82,1.0,3.0,1182205,25250,27171,23537,19904,19809,18996,18967,608,Dzielnica I Stare Miasto,"(50.05882734683432, 19.945931273766412)",pierwotny,2025-04-08,2025
1776,KAROLA BUNSCHA,14B,6_LOK,43.75,2.0,1.0,678000,15497,14600,14841,14775,13844,14871,15160,6520,Dzielnica VIII Dębniki,"(50.01549272926464, 19.883727545196912)",wtorny,2025-04-09,2025
1777,RYDLÓWKA,35,57_LOK,32.52,2.0,5.0,618900,19031,17212,16984,14979,17997,16156,16710,2860,Dzielnica XIII Podgórze,"(50.036649604955244, 19.93285692992186)",pierwotny,2025-03-13,2025
1778,KAZIMIERZA CHAŁUPNIKA,12D,1018_LOK,60.25,4.0,4.0,800000,13278,14391,15926,14766,16885,16521,15736,2885,Dzielnica III Prądnik Czerwony,"(50.07446262507992, 19.974507287018312)",wtorny,2025-04-02,2025
1779,OSIEDLE OGRODOWE,6,35_LOK,70.01,4.0,1.0,733200,10473,12120,12385,12842,12889,12986,12775,7716,Dzielnica XVIII Nowa Huta,"(50.071731095562896, 20.04586824265108)",pierwotny,2025-02-12,2025
1780,TRYBUNY LUDÓW,46,9_LOK,57.11,4.0,5.0,620000,10856,12928,13186,13370,13260,14897,14165,5444,Dzielnica XI Podgórze Duchackie,"(50.01651544069916, 19.967012186213147)",wtorny,2025-02-11,2025
